supplier_id,product_id,lead_time,inventory_level,vulnerability
51,48,9.48825095508392,113.41592937836694,0
92,20,9.575601070259884,116.13409632523829,1
14,8,11.398199179331014,87.12189875161756,0
71,5,9.315276729482646,99.32252668484037,0
60,44,11.478926938470373,71.1321707681119,0
20,34,11.728361409683565,134.01086350627628,0
82,38,8.692977601333919,121.36006213859685,1
86,21,11.685412037396901,72.08922200604903,1
74,40,11.866836965916576,82.66191589302639,1
74,4,6.478127126738283,97.3036335960332,1
87,41,10.586961905747934,100.77521440122965,1
99,22,8.987183783398173,86.27897398946901,1
23,16,12.606129960664886,77.10144004589452,1
2,11,8.966787629452874,107.90062621732312,0
21,22,7.321033689378661,134.78968941037377,1
52,15,9.940366366662344,101.09330836809227,1
1,2,8.206055391801764,94.16575591637756,0
87,29,11.699170529075776,92.06321173988268,1
29,21,8.382775002236425,78.06552698712318,0
37,8,9.964987101623446,86.56030497018648,1
1,28,13.091620854328328,122.72222160727326,0
63,46,12.197057244428272,58.58299984134419,0
59,36,10.955678406577897,101.40206647294603,0
20,22,9.74484457489545,100.55909333718712,1
32,12,10.765792912422176,102.36798666979288,0
75,31,11.377967905450108,114.54835416847037,1
57,45,8.026795273569023,101.22322527137949,1
21,46,11.702674487847679,90.9208113535797,0
88,47,7.796611894885839,86.86754483622431,1
48,22,11.144903870024553,125.96687526296463,0
90,44,7.786219190900718,120.82103955111607,1
58,16,13.925592486741229,157.55275039222582,0
41,39,11.526683249874077,94.38023142634802,0
91,20,6.887949442428091,87.23573985390736,0
59,1,9.998146747539694,109.06333792601002,1
79,36,8.957155911830728,108.5803298372611,1
14,5,8.720546140437271,112.72710157765566,0
61,43,10.294207052936837,116.9426175471273,0
61,17,8.144012500663003,112.53347224206681,1
46,29,11.522931529968872,121.50063211966409,0
61,21,11.409308173998685,124.16010621170973,1
50,32,10.70284954988397,124.51689433062919,1
54,29,9.96099094291827,54.77324099563609,0
63,16,11.319636571889964,104.6476180514188,1
2,42,11.582771012155968,81.53579622910908,1
50,31,10.909835473483362,121.10895531404066,0
6,41,7.376251953639525,54.35396609801419,1
20,13,8.423227772261987,129.38450555466486,1
72,9,9.463878157015776,82.70600571264694,0
